123373,686,0.76034
123793,1714,0.90758
124204,801,0.8477
124553,493,0.71278
125424,466,0.79914
125465,883,0.87406
125564,612,0.75948
126335,2241,0.78402
127081,266,0.75338
127495,460,0.65652
127865,1393,0.88858
128730,333,0.78378
128959,516,0.85892
129831,210,0.74286
130259,914,0.75186
130727,431,0.72994
131117,981,0.80672
131533,1091,0.87462
131698,370,0.83352
132135,427,0.85762
132738,1582,0.8407
133584,208,0.76346
134015,440,0.82818
134393,396,0.83636
134849,312,0.77436
135459,155,0.68516
135750,386,0.7886
136110,1197,0.8162
136860,708,0.84972
137585,1100,0.852
138431,488,0.85246
139086,524,0.81756
139792,129,0.92868
140321,455,0.79516
140877,160,0.8025
141300,229,0.77118
141548,249,0.69478
141688,398,0.83418
141761,285,0.81754
142179,429,0.82192
143094,398,0.75176
144051,500,0.8096
144585,189,0.73334
144714,356,0.83034
144727,147,0.73606
144931,166,0.69638
145417,74,0.82162
145906,1478,0.79512
146684,498,0.78554
147020,43,0.72094
147440,94,0.77872
147594,482,0.79088
148089,434,0.78434
148690,250,0.8368
149459,67,0.7015
149655,107,0.72336
149739,310,0.73162
149913,107,0.79066
150138,97,0.83092
150752,103,0.8097
151551,194,0.77114
152510,105,0.73714
152662,485,0.86474
152836,794,0.73502
152998,88,0.63636
153475,519,0.82196
154002,626,0.81406
154652,261,0.69656
154823,167,0.8467
155381,150,0.82134
155735,169,0.84852
155820,92,0.7913
156607,120,0.73666
157448,66,0.73334
158028,178,0.74606
158794,59,0.64746
159395,56,0.65714
159931,139,0.61726
160346,71,0.78028
160612,241,0.82904
161541,145,0.79586
162491,42,0.77142
162634,402,0.86866
163328,135,0.88148
164051,213,0.76902
164593,251,0.70996
165468,91,0.63076
166006,402,0.83384
166633,804,0.73284
167112,157,0.7809
168012,76,0.79474
168592,529,0.86086
168610,532,0.8203
169179,90,0.80888
169961,185,0.82918
170762,19,0.76842
171284,28,0.64286
172027,984,0.71748
172914,307,0.79154
173235,72,0.75
174086,1724,0.80278
174258,145,0.84276
174391,136,0.75294
174799,30,0.65334
175496,114,0.75438
175600,73,0.68768
176025,96,0.61666
176490,198,0.67474
177394,81,0.61976
178058,202,0.73466
178429,66,0.81818
178527,89,0.73932
178753,40,0.73
179124,65,0.8523
180014,120,0.85
180843,321,0.82928
181161,48,0.65834
181453,176,0.71136
181737,135,0.76296
182578,227,0.68458
182915,134,0.8418
183194,216,0.63334
183200,117,0.73334
183945,142,0.69578
184374,300,0.75734
185182,85,0.61412
185226,85,0.81648
185800,96,0.8
186629,23,0.6
187164,86,0.7814
187477,118,0.77966
187984,128,0.69062
188052,209,0.8488
188485,65,0.81538
189303,23,0.82608
190238,56,0.7
190529,40,0.5
190793,59,0.78984
191243,57,0.62808
191514,36,0.71112
192258,43,0.6372
193179,346,0.65664
193361,84,0.78572
194128,62,0.7871
194182,157,0.79618
194232,60,0.76666
194369,27,0.6
195076,151,0.80928
195124,111,0.77658
195406,13,0.81538
195613,51,0.91372
196197,10,0.68
196859,168,0.78572
197170,291,0.76494
197391,69,0.77972
198271,41,0.70732
199231,134,0.84776
199457,118,0.70848
200269,74,0.73514
200393,79,0.63544
200640,2,1
201534,11,0.85454
202172,7,0.37142
203040,1,1
203856,153,0.8719
204063,137,0.80146
204824,1,1
205656,4,0.9
206510,10,0.92
206536,48,0.76666
206849,3,0.86666
207710,23,0.75652
208647,41,0.8244
209001,15,0.84
209578,26,0.75384
209668,15,0.76
210180,6,0.66666
211146,17,0.67058
211662,6,0.53334
212624,13,0.81538
213089,20,0.82
213422,5,0.84
214082,1,1
214411,9,0.64444
215329,2,0.8
216048,15,0.78666
216159,13,0.93846
216959,39,0.87692
217243,3,0.6
217822,30,0.70666
217917,1,1
218606,119,0.879
218762,13,0.84616
219061,12,0.83334
219319,6,1
220185,1,1
220435,10,0.92
